question;answer;classifier_1;classifier_2;is_knowledge_base
Что такое встраивание (embed) видео?;Эмбед или эмбедирование — функция, которая позволяет встраивать плеер RUTUBE с конкретным видео на сторонние веб-страницы.;ВИДЕО;Встраивание видео;1
Что такое личный канал на RUTUBE?;Личный канал — это персональный общедоступный раздел RUTUBE, где хранятся все ваши видеоролики. Сюда будут заходить пользователи сайта, ваши возможные подписчики для того, чтобы смотреть и комментировать ваши видео. Очень хорошо, если у вашего канала есть конкретная тема (идея), а также соответствующее ей оформление. Грамотно и красиво оформить свой канал вам помогут пошаговые рекомендации, описанные в соответствующем разделе: https://rutube.ru/info/channel/;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Что такое личный канал?;Это канал, на котором вы можете выкладывать видео, вести трансляции и вести коммуникацию с вашими зрителями.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Что такое мобильное приложение Студия RUTUBE?;Приложение Студия RUTUBE — это приложение для смартфонов, работающих под управлением Аndroid, HarmonyOS и iOS, которое помогает блогерам общаться со своей аудиторией, анализировать статистику по своему каналу и работать с контентом.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Что такое модерация на RUTUBE?;Модерация — это процесс предварительной проверки видеоконтента, аудиоконтента, прямых эфиров и комментариев на соответствие требованиям пользовательского соглашения. Модерация бывает ручной (проверка модератором-человеком) и автоматической. Материалы, отклоненные на модерации, не допускаются к показам. RUTUBE, являясь социально проактивной платформой, ответственно относится к соблюдению закона и общепринятых норм морали, старается контролировать процесс публикации пользователями контента на площадке. Мы просматриваем каждый загружаемый видеоролик перед тем, как файл станет доступен другим пользователям. Размещаемые пользователями материалы и сопутствующая информация проходят проверку на соответствие требованиям Генерального пользовательского соглашения RUTUBE.;МОДЕРАЦИЯ;Отклонение/блокировка видео;1
Что такое обложка трансляции?;Вы можете загрузить обложку, которая будет отображаться в плеере в окне данной трансляции. Это можно сделать только до начала трансляции. Обложкой может стать любое изображение, которое не противоречит Пользовательскому соглашению: https://rutube.ru/info/agreement/. Для корректного отображения картинка (желательно в формате JPEG) должна иметь соотношение сторон 16:9 или 1920x1080 пикс.;ТРАНСЛЯЦИЯ;Управление трансляцией;1
Что такое онлайн-чат и как им управлять?;Во время прямого эфира доступен онлайн-чат, с помощью которого автор трансляции может общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».;ТРАНСЛЯЦИЯ;Чат/Комментарии;1
Что такое платная подписка?;"Это подписка RUTUBE+, которая открывает доступ к тысячам фильмов, сериалов и мультфильмов, прямым эфирам более 100 телеканалов, спортивным трансляциям и многим другим интересным зрелищам. В данный момент доступно пять видов подписок. Вы можете подписаться как на один пакет, так и на несколько одновременно. Стоимость подписки зависит от того, какой пакет вы выберете, подробнее в разделе ""Покупки"" https://rutube.ru/profile/purchases/. Управлять своими платными подписками вы можете на нашем сайте в разделе «Покупки» https://rutube.ru/profile/purchases/.";УПРАВЛЕНИЕ АККАУНТОМ;Платный контент;0
Что такое подтверждение e-mail?;Это ссылка, которая приходит на ваш e-mail, указанный при регистрации. Чтобы подтвердить ваше намерение зарегистрироваться на RUTUBE, нужно перейти по этой ссылке. Изменить или привязать e-mail, если изначально регистрация проводилась по телефону, можно в вашем профиле: https://rutube.ru/profile. Обратите внимание, что для полноценного взаимодействия с RUTUBE привязка и подтверждение e-mail является обязательной процедурой.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Что такое приватная трансляция на RUTUBE?;Это трансляция, которую можно смотреть только по приглашению автора по специальной ссылке.;ТРАНСЛЯЦИЯ;Управление трансляцией;1
Что такое трансляции (стримы) на RUTUBE?;Любой пользователь RUTUBE может не только загружать готовые видеоролики и подкасты, но и вести трансляции в режиме реального времени или «стримить» видео. Для выхода в прямой эфир вам потребуется ноутбук или компьютер с отдельной веб-камерой. На RUTUBE все трансляции собраны в одном разделе. Здесь можно найти как авторские стримы, так и прямые эфиры популярных телеканалов.;ТРАНСЛЯЦИЯ;Управление трансляцией;1
Что такое эта ваша модерация?;Модерация — это процесс предварительной проверки видеоконтента, аудиоконтента, прямых эфиров и комментариев на соответствие требованиям пользовательского соглашения Модерация — это процесс предварительной проверки видеоконтента, аудиоконтента, прямых эфиров и комментариев на соответствие требованиям пользовательского соглашения. Модерация бывает ручной (проверка модератором-человеком) и автоматической. Материалы, отклоненные на модерации, не допускаются к показам. RUTUBE, являясь социально проактивной платформой, ответственно относится к соблюдению закона и общепринятых норм морали, старается контролировать процесс публикации пользователями контента на площадке. Мы просматриваем каждый загружаемый видеоролик перед тем, как файл станет доступен другим пользователям. Размещаемые пользователями материалы и сопутствующая информация проходят проверку на соответствие требованиям Генерального пользовательского соглашения RUTUBE. . Модерация бывает ручной и автоматической. Материалы, отклоненные на модерации, не допускаются к показам. RUTUBE, являясь социально проактивной платформой, ответственно относится к соблюдению закона и общепринятых норм морали, старается контролировать процесс публикации пользователями контента на площадке. Мы просматриваем каждый загружаемый видеоролик перед тем, как файл станет доступен другим пользователям. Размещаемые пользователями материалы и сопутствующая информация проходят проверку на соответствие требованиям Генерального пользовательского соглашения RUTUBE.;МОДЕРАЦИЯ;Отклонение/блокировка видео;0
Что я могу и что не могу делать во время стрима?;Во время прямого эфира вам необходимо соблюдать условия Пользовательского соглашения: https://rutube.ru/info/agreement/, которое вы принимаете при регистрации на RUTUBE, и всех обозначенных в нем пунктов, регламентирующих содержание авторских видеороликов на сайте. Наши модераторы просматривают все трансляции в режиме реального времени и могут заблокировать эфир за допущенные нарушения.;МОДЕРАЦИЯ;Отклонение/блокировка видео;1
Что я могу и что не могу делать во время трансляции (стрима)?;Необходимо соблюдать условия Пользовательского соглашения: https://rutube.ru/info/agreement/. Модераторы могут заблокировать эфир за нарушения.;МОДЕРАЦИЯ;Отклонение/блокировка видео;1
Что-то мои трансляции никто не смотрит… у вас хоть какое-то продвижение есть? Как набрать зрителей?;Все стримы на RUTUBE попадают в раздел «Все трансляции», а также в популярные категории, а уже после завершения - в раздел «Недавние трансляции». Также запись стрима может попасть в тематический раздел «Новинки» в соответствии с категорией.;СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА;Продвижение канала;0
Чтобы дать доступ что надо списывать в поле пользователя?;Вам необходимо списать данные этого пользователя (номер телефона или электронная почта), которому хотите выдать роль. Посмотреть эту информацию он может в профиле RUTUBE: https://rutube.ru/profile/;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Чтобы не отключали монетизацию, надо, чтобы я сам снимал видео?;Для монетизации можно использовать то, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. Например, видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование. Иногда можно использовать короткие фрагменты и цитаты чужих произведений, указывая автора и источник, но размер этого фрагмента должен быть оправдан целью вашего видео. Например, строчка из новостей в глобальной аналитике прессы, часть песни в разборе вокальных приёмов и подобное. Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, предоставьте документы от его правообладателя — например: Лицензионный договор. Договор об отчуждении исключительного права. Разрешительное или гарантийное письмо от правообладателя и т. п. Подробнее об авторском праве: https://rutube.ru/info/authors/;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
Это мой ролик, я не давал разрешение на его публикацию.;Загляните в этот раздел: https://rutube.ru/info/abuse/ и пришлите уведомление о нарушении ваших прав через специальную форму, мы обязательно разберемся.;МОДЕРАЦИЯ;Нарушение авторских прав;1
Этот ролик нарушает закон;Пожалуйста, заполните форму: https://rutube.ru/forms/form/2/;МОДЕРАЦИЯ;Запрещенный контент;0
Я ЗАРЕГИСТРИРОВАЛСЯ НА САЙТЕ, мне нада 2 профиль для студии на смартфоне или нет?;Нет, вы можете авторизоваться в приложении Студия RUTUBE, если у вас есть ранее созданный аккаунт в RUTUBE.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;0
Я буду стримить свой ДР и отмечать с подписчиками, естественно буду выпивать там шампанское или вино, тортик будет)) у вас можно такое?;"Подобные трансляции возможны при соблюдении правил размещения рекламных материалов на платформе и отсутствии пропаганды деструктивного поведения. Все участники должны быть совершеннолетними, сама трансляция должна иметь пометку ""18+"".";МОДЕРАЦИЯ;Отклонение/блокировка видео;0
Я вам отправлял заявку на верификацию и уже две недели прошло, а ответа так и нет;Если вы не получили ответ по заявке в указанный срок, напишите, пожалуйста, на partners@rutube.ru для уточнения статуса вашей заявки.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
Я выложил shorts на 20 секунд, а можно длительность меньше?;Да, длительность ролика Shorts возможна от 1 до 60 секунд.;ВИДЕО;Загрузка видео;0
Я гражданин Казахстана, но у меня есть временная регистрация в Москве - смогу ли я подключить монетизацию на Рутуб?;Увы, такая возможность пока отсутствует, но мы постоянно совершенствуем наш сервис и подумаем над её реализацией.;ПРЕДЛОЖЕНИЯ;Монетизация;0
Я давно подал заявку на подтверждение канала, но ответа нет;Опишите, пожалуйста, более подробно ситуацию, отправьте нам id вашего канала на partners@rutube.ru, и мы всё проверим.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
Я добавил пользователя с органиченными правами просмотра, что он может делать на моем канале?;"Пользователь с ограниченными правами просмотра может просматривать информацию внутри Студии, но не может вносить в нее изменения. Обращаем внимание, что раздел ""Монетизация"": https://studio.rutube.ru/monetization для этого уровня доступа не доступен к просмотру.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Я же указал дату рождения в профиле… а как в рутубе студии на хуавее изменить остальные данные;"В приложении Студия RUTUBE вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Я загрузил ролик шортс, он попадет в подборку на главной?;Алгоритм попадания роликов в раздел Shorts происходит по внутренним процессам платформы. Чтобы повысить вероятность размещения вашего видео в этом разделе, рекомендуем регулярно публиковать Shorts.;СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА;Продвижение канала;0
Я записываю мастерклассы для своих учеников и размещаю их на сайте. Мне важно, чтобы видео были недоступны всем и только на сайте их было видно, кому дам страницу. Как мне правильно добавить скрытые видео на свой сайт?;Чтобы встроить видео, доступное только по прямой ссылке, вам потребуется ключ доступа. Его можно скопировать из прямой ссылки на видео. Шаг 1. Откройте видео с ограниченным доступом в Студии RUTUBE и скопируйте его ссылку Пример прямой ссылки на видео с его ID и ключом доступа: https://rutube.ru/video/private/caafe83ff1c6ed38d394635b83ece578/?p=IBgzQQrKH4qB1bqm_91x7Q Шаг 2. Откройте видео по скопированной ссылке и нажмите «Поделиться» → «Код для вставки» Шаг 3. Скопируйте из ссылки в браузере ключ доступа — всё после последнего «/» — и добавьте этот кусок в код вставки видео через слэш «/» сразу после ID видео. Все ключи видео начинаются с «/?p=». Если вы добавите код вставки без ключа доступа, видео не будет воспроизводиться. Если у вас возникли сложности, сообщите, мы поможем разобраться.;ВИДЕО;Встраивание видео;0
Я заю что музыку нельзя размещать! А если сам ее написал или с сайта то как;Вы можете публиковать видео с музыкой, которую написали сами. Либо музыку, на которую имеется лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. А также музыку из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
Я из Кахастана, как харегистрироваться?;Вы можете пройти регистрацию по e-mail. Регистрация на иностранные номера приостановлена по решению компании.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;0
Я иногда делаю нарезки с трансляций, скажите я могу у вас скачать свою трансляцию после завершения?;Возможности скачать видео или запись трансляции с RUTUBE нет.;ПРЕДЛОЖЕНИЯ;Студия RUTUBE;0
Я могу встроить трансляцию на свой сайт?;Да, это работает так же, как и эмбедирование видео. Подробнее в FAQ: Embеd: https://rutube.ru/info/embed/;ВИДЕО;Встраивание видео;0
Я могу зрителям включать музыку на фон когда отхожу во время трансляции?;Воспроизведение музыкальных треков на трансляции может считаться нарушением авторских прав и распространением пиратских материалов, в случае если музыка не соответствует условиям открытой лицензии или не относится к общественному достоянию.;МОДЕРАЦИЯ;Отклонение/блокировка видео;0
Я могу назначить только одного пользователя с правами просмотра или их может быть несколько?;Вы можете добавить до 50 человек с разными ролями на свой канал, количество пользователей на каждую роль можно распределить в пределах этого лимита на свое усмотрение.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Я могу настроить красивую ссылку на канал?;Вы можете поменять ссылку на канал в настройках Студии RUTUBE, прокрутите страницу вниз до пункта «URL Канала». Обратите внимание, в год доступно не более 3-х изменений, поэтому если вам потребуется больше, напишите нам на partners@rutube.ru.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Я могу подать заявку на монетизацию, если я физ.лицо?;На данный момент монетизация недоступна для физических лиц, но доступна для самозанятых. Зарегистрироваться как самозанятый можно за пару минут в приложении «Мой налог».;ПРЕДЛОЖЕНИЯ;Монетизация;0
Я могу подключить монетизацию, если мне через месяц будет 18?;Монетизация становится доступной с 18 лет. Для того чтобы иметь возможность монетизировать контент, необходимо оформить канал на лицо, достигшее совершеннолетия.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
Я могу провести приватную трансляцию?;Да, вы можете проводить такие трансляции RUTUBE.;ТРАНСЛЯЦИЯ;Управление трансляцией;0
Я могу сделать свой канал официальным, если я простой человек (у меня нет всяких пабликов, я не ИП и не ООО)?;Конечно, физическое лицо может получить статус официального канала, если соблюдены следующие условия: есть аватар и обложка канала, заполнено описание и название канала, опубликовано не менее двух видео, последнее из которых не старше трёх месяцев, и присутствуют ссылки на каналы на других платформах.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
Я наченающий блогер, хочу стать популярним стримером у вас, но пока незнаю что тут как. Расскажите пж куда нажать чтобы трансляцию сделать?))) спс;Для запуска трансляции следуйте простым шагам: 1) Установите программу для потокового вещания. 2) Войдите в свой аккаунт на RUTUBE. 2) Нажмите кнопку запуска трансляции или перейдите по ссылке: https://rutube.ru/create-stream/. 3) Подтвердите номер телефона (если не сделали это ранее). 4) Настройте трансляцию: введите заголовок и описание, выберите категорию. 5) Скопируйте данные «Ключ трансляции» и «URL трансляции» в программу для потокового вещания.;ТРАНСЛЯЦИЯ;Управление трансляцией;0
Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.;Пожалуйста, сообщите нам об этом, заполнив эту форму: https://rutube.ru/forms/form/2/;МОДЕРАЦИЯ;Запрещенный контент;1
Я не могу войти на сайт, мой аккаунт заблокирован;Вероятно, вы нарушили один из пунктов пользовательского соглашения, которое обязались соблюдать при регистрации. Для уточнения причины блокировки напишите, пожалуйста, команде поддержки на help@rutube.ru.;МОДЕРАЦИЯ;Блокировка канала;1
Я не могу загрузить почту, почему-то просит подтверждения почты, я это уже делал;Очистите кэш вашего браузера, снова зайдите в профиль и попробуйте загрузить видео ещё раз. Если проблема повторяется, напишите нам на пришлите, пожалуйста, скриншот с ошибкой.;ВИДЕО;Загрузка видео;0
Я не побликовал этот ролик, он мой;В этой ситуации просим вас заполнить специальную форму в разделе https://rutube.ru/info/abuse/ .;МОДЕРАЦИЯ;Нарушение авторских прав;0
Я не помню пароля от почты, которую привязывал, как теперь быть?;Пожалуйста, проверьте папку спам. Если там ничего нет, то пришлите ссылку на канал, и почту которую вы указывали ранее.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;0
Я не помню пороль?, как востановить?;Для восстановления пароля нажмите на кнопку «Вход и регистрация» в правом верхнем углу страницы. В появившемся окне введите адрес электронной почты или номер телефона, по которому вы регистрировались, и нажмите «Продолжить». В окне ввода пароля нажмите внизу на сноску «Забыли пароль?», после чего на привязанный к профилю электронный адрес придет код для сброса пароля.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Я не являюсь самозанятым или ИП, как мне подключиться к монетизации?;Монетизация на RUTUBE сейчас недоступна для физлиц, однако доступна для самозанятых. Регистрация в качестве самозанятого занимает всего несколько минут и осуществляется через приложение «Мой налог».;ПРЕДЛОЖЕНИЯ;Монетизация;0
Я недавно загрузил видеоролик. Почему он до сих пор не появился на сайте?;Все видеоролики, которые вы загружаете на RUTUBE, проходят предварительную модерацию, то есть проверяются на предмет соответствия Пользовательскому соглашению: https://rutube.ru/info/agreement. Как только наши модераторы проверят ваш видеоролик (обычно это происходит в срок до 24 часов), он появится на вашем канале и станет доступен другим пользователям RUTUBE. Подробнее о процессе модерации можно почитать здесь: https://rutube.ru/info/moderation;МОДЕРАЦИЯ;Долгая модерация;1
Я обычно смотрю рутуб через планшет, но тут увидел у вас и хотел спросить, что за Smart TV указаны на сайте?;Это телевизоры или приставки с поддержкой подключения к интернету, которые позволяют устанавливать дополнительные приложения и сервисы. Приложение RUTUBE можно скачать на многие Smart TV устройства.;ОТСУТСТВУЕТ;Отсутствует;0
Я обычно стримлю на твиче, захотел попробовать у вас. Я смогу монетизировать свои трансляции?;Вы сможете монетизировать свой контент на RUTUBE при подключении к партнёрской программе. Подробнее о монетизации тут: https://rutube.ru/info/monetization.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
Я подключил монетизацию, с какого момента начнут считаться деньги?;Учёт статистики и показателей по вашему контенту начнется с 1-го числа месяца, в котором вы стали участником партнерской программы. Информацию по формированию начислений можно отслеживать в Студии RUTUBE: https://studio.rutube.ru/monetization.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
Я подтвердил свою регистрацию, но письмо с подтверждением на мой e-mail не пришло;В этом случае напишите нашей команде поддержки на почту help@rutube.ru.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Я пока еще новичок, только зарегистрировался на Рутубе) не поделитесь как лучше оформить канал?;"Настройки вашего канала доступны по ссылке: https://studio.rutube.ru/channel-settings При оформлении важно учесть следующие шаги: 1) Придумайте название канала: Название канала — это то, как вас увидят зрители. Рекомендуется выбрать запоминающийся псевдоним или использовать своё настоящее имя. Название будет видно на странице канала, под каждым видео, на карточке видео в каталоге, а также рядом с вашими комментариями. 2) Выберете аватар канала: Аватар будет размещён рядом с названием и по нему вас будут узнавать. Можете выбрать любую фотографию, которая вам нравится, но убедитесь, что она не воспринимается как обидная. Если ваш канал представляет компанию или бренд, рекомендуется использовать ваш корпоративный логотип в качестве аватара. 3) Загрузите обложку канала: Выберите изображение формата JPEG размером не менее 2204 × 826 пикселей и весом до 10 мегабайт. Эта обложка украсит главную страницу вашего канала и расположится в верхней части страницы. Хорошо, если обложка и тематика канала будут сочетаться друг с другом. Если вы не загрузите свою обложку, будет использована стандартная, созданная нашими дизайнерами. 4) Добавьте описание канала: Объясните, о чём ваш контент, чтобы зрители сразу поняли, насколько он соответствует их интересам. Это может быть рассказ о вас, ваших увлечениях, теме канала, компании или ссылки на социальные сети и другие ресурсы. Добавьте ключевые слова для улучшения видимости в поисковых системах. Чем более информативное и понятное описание вы дадите, тем больше зрителей заинтересуется вашим каналом. 5) Закрепите важные видео: В Студии вы можете закрепить видео, которые будут размещены на главной странице вашего канала. Есть два типа таких видео: видео для тех, кто ещё не подписан на канал — здесь можно показать, например, трейлер канала, чтобы привлечь новых зрителей; рекомендованное для подписчиков — здесь вы делитесь самыми актуальными и интересными материалами для вашей аудитории. Обратите внимание, что для закрепления видео они должны быть уже загружены на канал. 6) Настройте автоматическую подпись для своих видео. Кроме того, в настройках канала вы можете создать постоянную подпись к роликам, которая будет автоматически отображаться в описании под всеми будущими видео. 7) Регулярность публикаций: Определите график, чтобы стабильно выкладывать контент и радовать зрителей новыми видео. Обратите внимание, что элементы оформления вашего канала не должны содержать материалы, относящиеся к категории «18+» и противоречить законодательству РФ. Другие пользователи могут сообщить о нарушениях, и если жалоба будет признана обоснованной, наши модераторы удалят несоответствующие материалы.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Я публикую на канале ролики shorts, будет ли на них монетизация?;Ваши видео shorts также будут монетизироваться, если вы придерживаетесь правил платформы RUTUBE: https://rutube.ru/info/adv_oferta/;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
Я раньше никогда не стримил, не очень понимаю как все настроить. Помогите пожалуйста);Направляем вам настройки для OBS: Вывод 1.1 ТРАНСЛЯЦИЯ Управление битрейтом – CBR Битрейт – 6000 Kbps Интервал ключевых кадров – 1s (это обновление кадров) Предустановка использования ЦП– Slower Профиль – high 1.2 ЗАПИСЬ Кодировщик видео – выбрать в соответствии с имеющейся видеокартой Для NVIDIA есть соответствующие кодеки: -NVIDIA NVENC H.264 -NVIDIA NVENC HEVC Для других видеоадаптеров можно выбрать любой другой Управление битрейтом – CQP Значение CQ – 15 Интервал ключевых кадров – 2 s Предустановка – Медленное (хорошее качество) Регулировка – Высокое качество 1.3 БУФЕР ПОВТОРНА НЕ МЕНЯЕМ Аудио 2.1 ГЛОБАЛЬНЫЕ УСТРОЙСТВА АУДИО Микрофон/дополнительный звук - тут добавляем микрофон, который подключен к ПК, он будет основным микрофоном на трансляции 2.2 ИЗМЕРИТЕЛИ Скорость спада – быстро Тип измерителя пиков – Упрощенный Видео 3.1 Разрешение ставим, ориентируясь на разрешения вашего экрана ПК. Смотрим в настройках ПК разрешение экрана, выставляем такое же в первых двух полях – «Базовое разрешение» и «Разрешение выхода». 3.2 ФИЛЬТР МАСШАБИРОВАНИЯ Всегда ставим – Метод Ланцоша (Четкое масштабирование, 36 выборок) Важно – Фильтр нужно ставить тогда, когда базовое разрешение и разрешение выхода не совпадают. 3.3 ОБЩИЕ ЗНАЧЕНИЯ ЧАСТОТЫ КАДРОВ Ставим 60 кадров, на 30 кадрах нет смысла вести трансляцию, по крайней мере, игры на 30 кадрах стримить - плохая идея. 30 кадров – мало, есть вероятность, что картинка будет не очень плавная. 3.4 ГОРЯЧИЕ КЛАВИШИ Настраиваем по желанию, но не желательно, если нет опыта, потому что можно случайно завершить трансляцию. Пункты в разделе «Горячие клавиши» обновляются в зависимости от добавленных источников на главной странице ОБС. Например, добавляете устройство вывода «Камера», в Горячих клавишах появится пункт «Камера». Пункт добавляется с точно таким же названием как на главном экране. Спец. Возможности Не трогаем. Расширенные 5.1 ОБЩИЕ Приоритет процесса – Выше среднего 5.2 АВТОМАТИЧЕСКОЕ ПЕРЕПОДКЛЮЧЕНИЕ Ставим галочку в поле «Включить» Задержка повтора – 1 s Задержка потока – не трогаем, галочка не должна стоять Макс. повторных попыток – 25 (оставляем стандартное значение) После настройки всех настроек жмем «Применить», затем «Ок». Мы настроили программу, теперь нужно добавить Сцены и Источники. СЦЕНЫ Добавляем одну сцену. Называем ее, например, «Трансляция». ИСТОЧНИКИ Все источники добавляются на +. Добавляются любые по желанию, в зависимости от того, что вам нужно. Ниже описаны основные источники. 2.1 КАМЕРА Нажимаем на +, выбираем «Устройство захвата видео», переименовываем на «Камера». Ставим галочку в поле «Сделать устройство видимым». Выбираем камеру, ее настройки тут не трогаем. Нажимаем «Ок». Камеру можно отзеркалить. Для этого ПКМ (правая кнопка мыши) нажимаем на Камера – Преобразовать – Отразить по горизонтали. 2.2 ФОН Нажимаем на +, выбираем «Изображение». Можем назвать источник «Фон». Нажимаем на «Обзор», выбираем нужно изображение с вашего ПК, галочки не ставим. 2.3 ЗАХВАТ ОКНА Источник захватывает только открытые приложения. Например, браузер. 2.4 ЗАХВАТ ЭКРАНА Данный источник захватывает общую картинку вашего компьютера. 2.4 СБОР Если у вас настроен донат через сайт донатов, можно добавить плашку на стрим, которая будет отображаться в режиме реального времени. Сбор удобен тем, что зрители видят потребность и цель. Зрители не всегда читают описание трансляции;ТРАНСЛЯЦИЯ;Управление трансляцией;0
